shamsi_year_month,y,yhat,yhat_lower,yhat_upper,service,category
(1401-11),218.0,209.1091862445396,16.959323919956404,401.8432290615916,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1401-12),485.0,351.8261523599793,167.76262054154247,539.2466547457328,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1402-01),179.0,245.60364342706367,59.1438228411696,432.6011634236359,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1402-02),253.0,250.97227849149647,53.27762415097743,448.5979201141448,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1402-03),204.0,246.74885251501823,47.48783581255304,443.394009785657,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1402-04),273.0,260.7990631241065,62.20984975239968,460.762779401086,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1402-05),164.0,205.7880475650506,14.300188824275084,398.34977104078,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1402-06),179.0,180.1854588372796,-18.08169792309404,378.0055491294773,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1402-07),168.0,180.2712895350074,-14.03411679199321,368.9455508450665,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1402-08),161.0,155.42571489856016,-36.7348490439924,350.88719549241137,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1402-09),168.0,145.641378540355,-47.59677353561214,338.1200444506827,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1402-10),139.0,140.43743537013157,-51.28092550068776,333.07804554546306,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1402-11),166.0,158.97859179241556,-32.591014322456914,354.177325204441,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1402-12),322.0,301.0731914582293,115.635638701015,484.4868784115217,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1403-01),124.0,198.4051618746898,6.505668701939917,393.1978147071928,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1403-02),206.0,220.6597649193872,23.09341546109921,419.4534080745594,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1403-03),256.0,230.7232782997764,29.887188529929432,431.6212361453842,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1403-04),258.0,257.28499761611226,54.923562129679325,455.94736694899416,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1403-05),222.0,228.22985091382907,30.785823221638594,427.22247331784337,اصلاح صورت و ابرو بانوان,زیبایی بانوان
