shamsi_year_month,y,yhat,yhat_lower,yhat_upper,category
(1404-07),7566.0,7625.6055709228085,6283.427498995768,8960.083446659957,برقکاری
(1404-08),7698.0,7611.41401499786,6271.943197177297,8937.808191757515,برقکاری
(1404-09),0.0,7634.827796734529,6309.711885309548,8970.071890336034,برقکاری
(1404-10),0.0,7749.266801670089,6410.608272012769,9072.47388571794,برقکاری
(1404-11),0.0,7937.918321612936,6590.256623072888,9263.204570860482,برقکاری
(1404-12),0.0,8536.11138736037,7235.624802407051,9831.773022434727,برقکاری
(1405-01),0.0,7280.903549409001,5882.299272096575,8659.327305520454,برقکاری
(1405-02),0.0,8350.832150977645,6955.26146478226,9756.211628570518,برقکاری
(1405-03),0.0,8883.062386492833,7473.703013720288,10284.863746367235,برقکاری
(1405-04),0.0,9695.557382346005,8242.638909590445,11114.599783046162,برقکاری
(1405-05),0.0,10195.169677691361,8748.336873612016,11654.23043315949,برقکاری
(1405-06),0.0,8825.74174612018,7365.37139226626,10273.592121749989,برقکاری
(1401-01),728.0,737.9980009659395,513.7484486654473,960.2045388641494,تعمیرات موبایل
(1401-02),700.0,668.5762507847891,446.52046536500444,892.2510309282237,تعمیرات موبایل
(1401-03),541.0,607.5630829980428,386.20890564689705,827.5118435734752,تعمیرات موبایل
(1401-04),611.0,659.3343228458087,437.5871206661955,878.7581328637115,تعمیرات موبایل
(1401-05),799.0,717.2989947213551,494.1599990427601,938.3126169310339,تعمیرات موبایل
(1401-06),621.0,626.7665979157712,407.23667740305154,849.3878515650707,تعمیرات موبایل
(1401-07),452.0,527.164498346488,310.94513748019745,740.6417593680945,تعمیرات موبایل
(1401-08),632.0,585.1245995485809,370.85589317663084,799.8522305932651,تعمیرات موبایل
(1401-09),568.0,543.0025771093696,330.56276702905933,755.9640745497172,تعمیرات موبایل
