shamsi_year_month,y,yhat,yhat_lower,yhat_upper,category
(1403-08),270.0,306.89400879260006,81.49512118936725,529.5270978924489,باغبانی و فضای سبز
(1403-09),277.0,310.5158426567706,86.18638757249609,533.4142415423611,باغبانی و فضای سبز
(1403-10),365.0,368.290553961882,141.42228832343656,593.8484612865617,باغبانی و فضای سبز
(1403-11),466.0,432.0451643244847,208.10239896702222,657.3615907653378,باغبانی و فضای سبز
(1403-12),1079.0,875.9482194870926,652.7919671333747,1100.3451105092627,باغبانی و فضای سبز
(1404-01),569.0,618.8685988782962,388.7128401098379,853.4635463644715,باغبانی و فضای سبز
(1404-02),519.0,540.08669312729,308.5313975978314,772.5729184209442,باغبانی و فضای سبز
(1404-03),349.0,436.81923395737016,217.99730663929518,654.3535976821925,باغبانی و فضای سبز
(1404-04),371.0,454.3184042152906,232.71430227944586,679.1618615187508,باغبانی و فضای سبز
(1404-05),485.0,471.1652000730007,237.5429289689711,702.2866725867966,باغبانی و فضای سبز
(1404-06),438.0,445.11521535921116,213.6771666151897,674.4541467753664,باغبانی و فضای سبز
(1404-07),440.0,374.07848924945904,148.1101881706826,596.0852897279938,باغبانی و فضای سبز
(1404-08),357.0,366.4754357927456,143.654675749428,588.1738080321029,باغبانی و فضای سبز
(1404-09),0.0,364.1275680428881,137.13141624021645,587.3095465112183,باغبانی و فضای سبز
(1404-10),0.0,423.53868651743676,201.03047169148132,645.7561831655063,باغبانی و فضای سبز
(1404-11),0.0,491.35051907210624,265.8724908967097,714.1539742218199,باغبانی و فضای سبز
(1404-12),0.0,911.0026928214254,693.2300615889575,1127.5742420535662,باغبانی و فضای سبز
(1405-01),0.0,673.9268861839496,439.83507145150134,902.1369956972458,باغبانی و فضای سبز
(1405-02),0.0,599.6184148582582,365.9108662787042,833.7530820494633,باغبانی و فضای سبز
(1405-03),0.0,519.4703128290537,284.26994775837113,750.3072286711687,باغبانی و فضای سبز
(1405-04),0.0,522.6567157519903,293.03900515421753,754.188597127801,باغبانی و فضای سبز
(1405-05),0.0,528.4788897801129,297.40294680906817,758.3062585793124,باغبانی و فضای سبز
(1405-06),0.0,502.0649639225183,270.8082220860918,735.2018036853966,باغبانی و فضای سبز
(1401-01),3035.0,2607.4851499366473,1175.9299953285047,4077.311112533514,برقکاری
(1401-02),3430.0,3730.192714596995,2294.511232460692,5174.47154752792,برقکاری
(1401-03),4548.0,4304.697453233104,2878.2330739608824,5748.6191167490515,برقکاری
(1401-04),5523.0,5145.208408338517,3713.607814579164,6595.386348333437,برقکاری
(1401-05),5735.0,5673.364025062132,4238.51990799867,7113.763479653014,برقکاری
(1401-06),4500.0,4329.392368200994,2871.836371046982,5762.067648583214,برقکاری
(1401-07),3615.0,3840.148969298362,2460.5829145205594,5240.651416310492,برقکاری
(1401-08),4155.0,3872.993782367147,2487.30793522183,5269.935829251311,برقکاری
(1401-09),4145.0,3912.0546814658483,2510.532514421203,5308.704815526308,برقکاری
(1401-10),4539.0,4078.8652183024865,2675.4689044414076,5469.110783532868,برقکاری
(1401-11),4729.0,4297.153715715217,2907.059352276134,5678.899914248173,برقکاری
(1401-12),4504.0,5074.7325227977635,3732.3909469191544,6411.812111269675,برقکاری
(1402-01),3502.0,3676.5214778258623,2244.3632453370055,5121.042220277036,برقکاری
(1402-02),3959.0,4774.211607099298,3317.1822316881644,6220.833366295658,برقکاری
(1402-03),5051.0,5360.63869867303,3924.909489229614,6819.359945418651,برقکاری
(1402-04),6066.0,6209.80071488991,4777.485534974883,7631.927812116561,برقکاری
(1402-05),5576.0,6770.988335907764,5321.468910962601,8219.019999662662,برقکاری
(1402-06),5361.0,5448.664551300341,4000.0938571047927,6895.6937188864595,برقکاری
(1402-07),5079.0,4979.952611750236,3572.990849619846,6373.000096987667,برقکاری
(1402-08),4774.0,5036.83470520218,3631.8312115054428,6416.679051552976,برقکاری
(1402-09),4757.0,5151.590047041017,3738.36673507633,6545.48190447129,برقکاری
(1402-10),4807.0,5345.605011527672,3942.790214825596,6745.923963983983,برقکاری
(1402-11),5153.0,5627.717933375707,4231.149306881741,7026.8946942985585,برقکاری
(1402-12),6322.0,6417.186091256529,5085.984787078637,7801.879625718414,برقکاری
(1403-01),4570.0,5158.237861870816,3721.118014567007,6591.239839008405,برقکاری
(1403-02),6219.0,6326.575120291366,4884.891501168192,7752.866442772765,برقکاری
(1403-03),7774.0,6982.076474974153,5527.620686208944,8419.509621067209,برقکاری
