shamsi_year_month,y,yhat,yhat_lower,yhat_upper,category
(1401-07),1722.0,1753.8919575309765,992.9137126119529,2511.902058141251,برقکاری
(1401-08),1915.0,1869.2183136666129,1112.4396155391496,2615.1565459432354,برقکاری
(1401-09),1978.0,1925.699015786465,1172.6703732452079,2678.1884920122684,برقکاری
(1401-10),2241.0,2105.3213614172914,1361.979753505553,2858.2586719823516,برقکاری
(1401-11),2305.0,2196.874108643731,1445.9699490671958,2947.9676603726766,برقکاری
(1401-12),2229.0,2535.1614764448545,1804.3762514203715,3265.2375836380243,برقکاری
(1402-01),1685.0,1792.9464114077032,1004.2906645612327,2568.026710504233,برقکاری
(1402-02),1953.0,2285.9826473727035,1513.3149057718376,3075.289807380309,برقکاری
(1402-03),2618.0,2517.079556908238,1745.9701640418548,3290.3472982387802,برقکاری
(1402-04),2843.0,2757.677333065433,1981.4907580823801,3552.2194337529795,برقکاری
(1402-05),2726.0,3148.4280169338513,2369.370414416778,3931.7246352932098,برقکاری
(1402-06),2597.0,2672.391122171205,1907.5113283766404,3446.913405327681,برقکاری
(1402-07),2536.0,2515.4372489841558,1763.4568979993592,3273.59470516901,برقکاری
(1402-08),2560.0,2634.681616732217,1866.2970263506595,3389.4087129053523,برقکاری
(1402-09),2539.0,2732.270333518715,1973.6056640146278,3479.8306443035976,برقکاری
(1402-10),2665.0,2929.377051629078,2171.544753069638,3686.1981782646008,برقکاری
(1402-11),2777.0,3065.457000556799,2319.291546096254,3817.5321895206675,برقکاری
(1402-12),3240.0,3414.628029360225,2685.00192902733,4133.369371133334,برقکاری
(1403-01),2410.0,2769.740444939324,1995.4895745384288,3550.7055033967135,برقکاری
(1403-02),3185.0,3320.18359661664,2542.248597148897,4103.5713290245585,برقکاری
(1403-03),3774.0,3598.423905833677,2823.201687056309,4371.485221704216,برقکاری
(1403-04),4195.0,3864.3235989812492,3072.1203168645543,4644.110337988602,برقکاری
(1403-05),4821.0,4301.49197372613,3524.8160490968517,5082.331408654543,برقکاری
(1403-06),4026.0,3872.937983166986,3092.7637671417556,4660.72121777815,برقکاری
(1403-07),3742.0,3698.899620519301,2948.8692203650135,4462.121165135563,برقکاری
(1403-08),3881.0,3833.777971895667,3086.576143952755,4588.690584678042,برقکاری
(1403-09),4119.0,3951.965391612567,3193.1048736656967,4706.406707860178,برقکاری
(1403-10),4308.0,4171.367034389919,3419.279715774466,4922.893591337418,برقکاری
(1403-11),4531.0,4297.524294838167,3550.8305929694498,5052.268933819643,برقکاری
(1403-12),5522.0,4757.315902336683,4007.204660075704,5518.058550231023,برقکاری
(1404-01),3929.0,4058.4093252823586,3292.9952050974557,4843.757485264495,برقکاری
(1404-02),5054.0,4601.366588006302,3818.6278588899786,5378.741917247086,برقکاری
(1404-03),4401.0,4867.768985164891,4097.753096978216,5650.643026238429,برقکاری
(1404-04),4563.0,5171.979142993869,4394.741007212433,5947.14018628295,برقکاری
(1404-05),5546.0,5572.194217936985,4793.267351511661,6350.361172427306,برقکاری
(1404-06),5018.0,5150.955183907396,4378.718052457945,5932.160708219388,برقکاری
(1404-07),4688.0,4928.969761381319,4173.915658152428,5688.001898398042,برقکاری
(1404-08),4632.0,5081.639328381498,4331.414059768543,5834.4797753736975,برقکاری
(1404-09),0.0,5193.592781879865,4438.533933388961,5940.461017111971,برقکاری
(1404-10),0.0,5409.390968305591,4658.165430830621,6163.239643403254,برقکاری
(1404-11),0.0,5540.184855931417,4793.663679482848,6301.475581111639,برقکاری
(1404-12),0.0,5797.015327795361,5072.040713877297,6521.048939619034,برقکاری
(1405-01),0.0,5341.930826190435,4551.775990022094,6122.805378933443,برقکاری
(1405-02),0.0,5880.045309775942,5086.416151334243,6652.714598631375,برقکاری
(1405-03),0.0,6145.389430712036,5361.697120035018,6912.038702283678,برقکاری
(1405-04),0.0,6434.876218477168,5655.382525581726,7217.339656121918,برقکاری
(1405-05),0.0,6856.784824735861,6063.251708515151,7632.978206655443,برقکاری
(1405-06),0.0,6427.976179448741,5647.258738535461,7208.9936585664145,برقکاری
(1401-01),97.0,94.59759325081895,-0.8445497030576782,191.75054109808264,تعمیرات موبایل
(1401-02),121.0,95.03865048398491,-1.5692888656574326,190.48166429997616,تعمیرات موبایل
(1401-03),96.0,70.18809943994916,-25.978485608983245,167.29037641017862,تعمیرات موبایل
(1401-04),103.0,91.65174190615296,-4.46109622478999,187.4618157206531,تعمیرات موبایل
(1401-05),142.0,117.90020819185676,21.465018279441,213.83671571518335,تعمیرات موبایل
(1401-06),141.0,100.89590778990177,3.3645608329043757,196.7352831174385,تعمیرات موبایل
(1401-07),131.0,105.59692643862628,14.325729220275742,199.16601261108096,تعمیرات موبایل
(1401-08),115.0,131.90001401383745,38.73829435343046,225.86240926069698,تعمیرات موبایل
(1401-09),116.0,134.604260245048,42.465485866389464,228.29424896156104,تعمیرات موبایل
