shamsi_year_month,y,yhat,yhat_lower,yhat_upper,service,category,yhat_diff,yhat_low_diff,yhat_high_diff,min_diff_label,y_lable_frequent
(1403-01),124.0,205.0675184607344,16.686734220537144,392.3926736750757,اصلاح صورت و ابرو بانوان,زیبایی بانوان,81.06751846073439,107.31326577946284,268.3926736750757,yhat_diff,yhat_low_diff
(1403-02),206.0,224.1480453424678,30.69875532841426,419.2197755092742,اصلاح صورت و ابرو بانوان,زیبایی بانوان,18.14804534246781,175.30124467158575,213.2197755092742,yhat_diff,yhat_low_diff
(1403-03),256.0,230.68725293255577,34.99613002187257,424.5775403635584,اصلاح صورت و ابرو بانوان,زیبایی بانوان,25.312747067444235,221.00386997812743,168.5775403635584,yhat_diff,yhat_low_diff
(1403-04),258.0,254.6423451748313,58.484175435334805,450.5873024478156,اصلاح صورت و ابرو بانوان,زیبایی بانوان,3.3576548251687086,199.5158245646652,192.5873024478156,yhat_diff,yhat_low_diff
(1403-05),222.0,227.74272259749108,34.717104036864214,420.9447226457388,اصلاح صورت و ابرو بانوان,زیبایی بانوان,5.742722597491081,187.2828959631358,198.9447226457388,yhat_diff,yhat_low_diff
(1403-06),220.0,207.58116644246547,10.68749718781932,400.5405768475732,اصلاح صورت و ابرو بانوان,زیبایی بانوان,12.418833557534526,209.31250281218067,180.5405768475732,yhat_diff,yhat_low_diff
(1403-07),226.0,219.0945621265116,38.16078075528311,399.5866597189577,اصلاح صورت و ابرو بانوان,زیبایی بانوان,6.90543787348841,187.8392192447169,173.58665971895772,yhat_diff,yhat_low_diff
(1403-08),195.0,212.84387276311853,23.997005690980064,399.9675916311958,اصلاح صورت و ابرو بانوان,زیبایی بانوان,17.843872763118526,171.00299430901993,204.96759163119577,yhat_diff,yhat_low_diff
(1403-09),253.0,214.023279435898,26.530416397246693,401.9241072921319,اصلاح صورت و ابرو بانوان,زیبایی بانوان,38.97672056410201,226.4695836027533,148.9241072921319,yhat_diff,yhat_low_diff
(1403-10),195.0,224.7577687232202,35.41130724563943,411.9200557643396,اصلاح صورت و ابرو بانوان,زیبایی بانوان,29.75776872322021,159.58869275436058,216.9200557643396,yhat_diff,yhat_low_diff
