shamsi_year_month,y,yhat,yhat_lower,yhat_upper,service
(1401-12),187.0,216.00226895979378,94.48683330887181,335.9959802119094,امداد خودرو
(1402-01),202.0,175.79427667389007,46.532339152589174,303.8952259115795,امداد خودرو
(1402-02),114.0,144.48060181882127,20.40949226870909,268.5327449239644,امداد خودرو
(1402-03),152.0,164.7252254007453,42.6308765696931,283.9362628139695,امداد خودرو
(1402-04),243.0,246.14647132279848,115.67886066602014,374.92478778966074,امداد خودرو
(1402-05),232.0,255.9780113939829,127.85543057159839,385.8559730833528,امداد خودرو
(1402-06),198.0,199.65645126151827,70.09956544921069,327.6735325710698,امداد خودرو
(1402-07),151.0,139.04945894722425,12.639350612586439,263.68833253919667,امداد خودرو
(1402-08),140.0,126.73510467203303,2.1395408811107517,250.93028248300936,امداد خودرو
(1402-09),133.0,132.00973035879736,10.054175800592162,252.82957872429375,امداد خودرو
(1402-10),143.0,151.91157430604179,32.509412460351015,271.9068183191916,امداد خودرو
(1402-11),147.0,158.56056357051443,33.56875746721607,284.7287798026494,امداد خودرو
(1402-12),174.0,157.0921039130869,39.73708153633162,274.5169683286255,امداد خودرو
(1403-01),145.0,139.18151481989105,13.594022525535813,264.5693881760372,امداد خودرو
(1403-02),141.0,128.00766934028454,-0.34381452890995645,258.65534060737997,امداد خودرو
(1403-03),166.0,160.6563175561229,35.92492248868585,287.9871628934841,امداد خودرو
(1403-04),237.0,246.72533955084575,115.21553659700615,376.1320528400361,امداد خودرو
(1403-05),263.0,271.0197261494941,140.91317633000187,400.01643397750456,امداد خودرو
(1403-06),241.0,218.2005940207398,88.98406376828811,347.5317506332635,امداد خودرو
(1403-07),176.0,151.27100557401315,25.723510909288358,275.4673483535357,امداد خودرو
(1403-08),138.0,137.83263021842077,12.66028499520256,264.8232736772343,امداد خودرو
(1403-09),121.0,140.7238906882995,22.985335679987436,257.8964497452171,امداد خودرو
(1403-10),134.0,169.57067819313616,43.83616175821564,294.55704189435966,امداد خودرو
(1403-11),149.0,172.09223070213278,46.92849291369362,296.06627579307724,امداد خودرو
(1403-12),222.0,182.95824147044175,56.34085930330362,307.60181357316867,امداد خودرو
(1404-01),0.0,154.38926856134398,23.973028816126643,283.03175922959116,امداد خودرو
