ds,category,Year,Month,y
2022-04-02,خدمات کامپیوتری,1401,1,1
2022-04-02,خیاطی و تعمیرات لباس,1401,1,1
2022-04-02,زیبایی بانوان,1401,1,14
2022-04-02,سرمایش و گرمایش,1401,1,77
2022-04-02,شستشو,1401,1,13
2022-04-02,طراحی و بازسازی ساختمان,1401,1,0
2022-04-02,لوله کشی,1401,1,29
2022-04-02,مجالس و رویدادها,1401,1,2
2022-04-02,مشاوره,1401,1,0
2022-04-02,نصب و تعمیر لوازم خانگی,1401,1,26
2022-04-02,نظافت و پذیرایی,1401,1,43
2022-04-02,پزشکی و پرستاری,1401,1,4
2022-04-02,پیرایش و زیبایی آقایان,1401,1,1
2022-04-02,چوب و کابینت,1401,1,6
2022-04-02,کارواش و دیتیلینگ,1401,1,3
2022-04-02,کودک,1401,1,0
2022-04-03,آموزش,1401,1,1
2022-04-03,باربری و جابجایی,1401,1,13
2022-04-03,باغبانی و فضای سبز,1401,1,4
2022-04-03,برقکاری,1401,1,52
2022-04-03,تامین نیروی انسانی,1401,1,0
2022-04-03,تعمیرات موبایل,1401,1,4
2022-04-03,تندرستی و ورزش,1401,1,1
2022-04-03,حیوانات خانگی,1401,1,1
2022-04-03,خدمات بیمه‌,1401,1,0
2022-04-03,خدمات شرکتی,1401,1,0
2022-04-03,خدمات شیشه ای ساختمان,1401,1,5
2022-04-03,خدمات فوری آچاره,1401,1,8
2022-04-03,خدمات و تعمیرات خودرو,1401,1,29
2022-04-03,خدمات و تعمیرات ساختمان,1401,1,46
2022-04-03,خدمات کامپیوتری,1401,1,20
2022-04-03,خیاطی و تعمیرات لباس,1401,1,0
2022-04-03,زیبایی بانوان,1401,1,21
2022-04-03,سرمایش و گرمایش,1401,1,149
2022-04-03,شستشو,1401,1,23
2022-04-03,طراحی و بازسازی ساختمان,1401,1,1
2022-04-03,لوله کشی,1401,1,65
2022-04-03,مجالس و رویدادها,1401,1,0
2022-04-03,مشاوره,1401,1,2
2022-04-03,نصب و تعمیر لوازم خانگی,1401,1,95
2022-04-03,نظافت و پذیرایی,1401,1,175
2022-04-03,همه فن حریف,1401,1,1
2022-04-03,پزشکی و پرستاری,1401,1,8
2022-04-03,پیرایش و زیبایی آقایان,1401,1,0
2022-04-03,چوب و کابینت,1401,1,28
2022-04-03,کارواش و دیتیلینگ,1401,1,25
2022-04-03,کودک,1401,1,0
2022-04-04,آموزش,1401,1,1
2022-04-04,باربری و جابجایی,1401,1,30
2022-04-04,باغبانی و فضای سبز,1401,1,11
2022-04-04,برقکاری,1401,1,59
2022-04-04,تامین نیروی انسانی,1401,1,0
2022-04-04,تعمیرات موبایل,1401,1,5
2022-04-04,تندرستی و ورزش,1401,1,0
2022-04-04,حیوانات خانگی,1401,1,2
2022-04-04,خدمات بیمه‌,1401,1,0
2022-04-04,خدمات شرکتی,1401,1,0
2022-04-04,خدمات شیشه ای ساختمان,1401,1,6
2022-04-04,خدمات فوری آچاره,1401,1,14
2022-04-04,خدمات و تعمیرات خودرو,1401,1,31
2022-04-04,خدمات و تعمیرات ساختمان,1401,1,55
2022-04-04,خدمات کامپیوتری,1401,1,9
2022-04-04,خیاطی و تعمیرات لباس,1401,1,1
2022-04-04,زیبایی بانوان,1401,1,24
2022-04-04,سرمایش و گرمایش,1401,1,241
2022-04-04,شستشو,1401,1,42
2022-04-04,طراحی و بازسازی ساختمان,1401,1,0
2022-04-04,لوله کشی,1401,1,79
2022-04-04,مجالس و رویدادها,1401,1,0
2022-04-04,مشاوره,1401,1,2
2022-04-04,نصب و تعمیر لوازم خانگی,1401,1,94
2022-04-04,نظافت و پذیرایی,1401,1,255
2022-04-04,همه فن حریف,1401,1,1
2022-04-04,پزشکی و پرستاری,1401,1,4
